"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"LORCA","ESP","Spain",1,"HighIncome",12,10.2045011520386,2.484906649788,2.32282891236623,2
"LORIENT","FRA","France",1,"HighIncome",11,11.278000831604,2.39789527279837,2.42285399912182,2
"Los Angeles-Long Beach-Santa Ana, CA","USA","United States of America",1,"HighIncome",10.7777777777778,8.26533434126112,2.37748640116716,2.11207018311797,2
"Louisville/Jefferson County, KY-IN","USA","United States of America",1,"HighIncome",11.6666666666667,8.70049985249837,2.4567357728213,2.16338047832026,2
"LOURDES","FRA","France",1,"HighIncome",9.5,7.36500120162964,2.2512917986065,1.99673921306864,2
"Loures","PRT","Portugal",1,"HighIncome",9,10.1229982376099,2.19722457733622,2.31480988851899,2
"LOVECH","BGR","Bulgaria",4,"E-Eur/C-Eur/C-Asia",27,21.3069915771484,3.29583686600433,3.05903526191402,4
"Lower Hunter","AUS","Australia",1,"HighIncome",7.43333333333333,2.7086656888326,2.00597438979796,0.996456147895367,2
"Lower Hutt","NZL","New Zealand",1,"HighIncome",5,2.81600117683411,1.6094379124341,1.03531785620555,2
"LUBLIN","POL","Poland",4,"E-Eur/C-Eur/C-Asia",21.5,22.4069938659668,3.06805293513362,3.10937313628778,4
"LUBLINIEC","POL","Poland",4,"E-Eur/C-Eur/C-Asia",24,22.9560031890869,3.17805383034795,3.13357947916782,4
"LUCCA","ITA","Italy",1,"HighIncome",19,23.1805000305176,2.94443897916644,3.14331140931473,2
"LUCCIANA","FRA","France",1,"HighIncome",11,14.477499961853,2.39789527279837,2.67259571748289,2
"LUCE","FRA","France",1,"HighIncome",11,12.9930028915405,2.39789527279837,2.5644109734466,2
"Lucknow","IND","India",3,"S-Asia",112.8,91.6155166625977,4.72561633906396,4.51760065321411,3
"Ludhiana","IND","India",3,"S-Asia",122,74.4590072631836,4.80402104473326,4.31024873587092,3
"LUDWIGSBURG","DEU","Germany",1,"HighIncome",13,19.5675029754639,2.56494935746154,2.97387017875837,2
"LUDWIGSHAFEN","DEU","Germany",1,"HighIncome",15.5,20.2882513999939,2.7408400239252,3.01004196973925,2
"LUGAGNANO VAL D'ARDA","ITA","Italy",1,"HighIncome",14,30.3420028686523,2.63905732961526,3.41253298586984,2
"LUGANO","CHE","Switzerland",1,"HighIncome",12,25.3865032196045,2.484906649788,3.23421766349088,2
"LUGO","ESP","Spain",1,"HighIncome",13,7.73999881744385,2.56494935746154,2.04640153481659,2
"Lumberton, NC","USA","United States of America",1,"HighIncome",9,7.79999876022339,2.19722457733622,2.05412357474981,2
"LUNEL-VIEL","FRA","France",1,"HighIncome",10,9.72549724578857,2.30258509299405,2.27475101886973,2
